Region,ParishName,BEF1699,BeginPlaguePeriod,EndPlaguePeriod,VictimsNumber,plague,geometry,centroid,new_format_BeginPlaguePeriod,new_format_EndPlaguePeriod,BeginDaysPlague,EndDaysPlague
SOUTHEAST,YSTAD,1782,JUN 1712,DEC 1712,740,1,"POLYGON ((4240506.247557897 3176029.5812564003, 4238053.5741254715 3175589.468352496, 4235692.144724559 3174136.1469319663, 4234141.061584048 3174691.6943350625, 4232233.684619894 3174722.8825157746, 4232453.663544339 3175129.3340392923, 4233118.055184642 3175931.1453313683, 4233181.208405356 3176354.1400631, 4233600.208785743 3176582.2326333914, 4233913.43393927 3176675.466611015, 4233901.780249022 3176820.3140760576, 4234658.76563811 3177075.5944231274, 4234983.646766364 3177023.97632358, 4235833.322971535 3177335.2970204093, 4235953.08598405 3177296.3338324055, 4236447.432324579 3176587.7231190237, 4237194.969717979 3176356.2650137586, 4237480.784459405 3176427.8412043084, 4238655.349732376 3176687.4951548064, 4239012.646035569 3176716.216658844, 4239391.242341774 3176600.862524934, 4239779.837544603 3176602.9386641444, 4240049.881025919 3176508.013488709, 4240233.701739983 3176639.4152947557, 4240565.56530971 3176500.860981575, 4240623.936901196 3176379.204180588, 4240633.248975841 3176263.3241651626, 4240666.530246444 3176091.0564705394, 4240651.096949974 3176041.221307379, 4240527.112824586 3176011.8200298063, 4240506.247557897 3176029.5812564003))",POINT (4235880.810923543 3175774.141675906),1712-06-01,1712-12-01,0,213
SOUTHEAST,ÖJA,156,JUN 1712,MAR 1713,40,1,"POLYGON ((4236218.454418454 3180039.080157111, 4236359.529570177 3179856.0372064034, 4236409.910819435 3179471.311723616, 4236510.466075101 3179187.8171399, 4236622.567851028 3179002.4455024134, 4236614.566103633 3178739.3800495565, 4236769.615887066 3178382.5161959496, 4236954.748876346 3178134.9843109404, 4236997.697082078 3177963.49199208, 4237107.366028229 3178050.0646247473, 4237163.415157222 3177957.379504417, 4237480.784459405 3176427.8412043084, 4237194.969717979 3176356.2650137586, 4236447.432324579 3176587.7231190237, 4235953.08598405 3177296.3338324055, 4235833.322971535 3177335.2970204093, 4234983.646766364 3177023.97632358, 4234737.691761723 3177665.0896666734, 4235025.837746196 3177707.7074453356, 4235501.8245663885 3179281.639331704, 4235719.944018243 3179590.7662240095, 4235800.978188894 3179791.6729674335, 4235872.691569887 3180108.4643313326, 4236028.652620166 3180344.557738774, 4236218.454418454 3180039.080157111))",POINT (4236171.52874792 3178038.800015468),1712-06-01,1713-03-01,0,303
SOUTHEAST,BJÄRESJÖ,376,JUL 1712,,,1,"POLYGON ((4228840.23212816 3178726.0422251667, 4228969.52800742 3178930.8389639943, 4229075.623071717 3179182.364156309, 4229382.303254309 3179236.218070481, 4229548.347503 3179346.7815641733, 4229785.87706265 3179414.504321682, 4229830.272840987 3179466.6756501505, 4229826.259586718 3179757.9328302415, 4230145.585628842 3180016.9096137756, 4230390.893220512 3179988.0634070444, 4230524.2064740965 3179901.602687684, 4230640.08806802 3179910.9322915496, 4230755.519737151 3180046.5777972615, 4230806.013731297 3180264.4704701924, 4231028.121523653 3180282.3514803723, 4231541.370616989 3180547.2165653333, 4231688.556481978 3180529.906063677, 4231742.28243065 3180466.194297057, 4232109.693275016 3180369.4146596347, 4232069.181533916 3180268.959156463, 4232014.797101607 3180099.351045349, 4232042.001706574 3179761.3610786153, 4231996.04937005 3179728.504239913, 4231895.594707363 3179769.015594636, 4231872.065247555 3179699.0859603183, 4231938.226683054 3179480.8658089186, 4231689.153018698 3179315.0274705347, 4232464.175402721 3177414.126027548, 4232705.703126545 3177190.5863764333, 4232611.469324795 3177153.8459106376, 4232643.992912119 3176991.239664061, 4232767.97309051 3177020.6547010974, 4232877.748005974 3176864.265079603, 4233113.501141573 3176591.6659099897, 4232422.123611402 3176487.435673231, 4232053.0634237565 3176846.493207964, 4231981.070196628 3174721.990757327, 4230443.743091693 3174744.0353239323, 4228962.275395491 3174313.7684822204, 4228981.337108979 3174801.2350414814, 4228768.903837012 3174784.129808215, 4228803.188706935 3174961.826649562, 4229040.70330753 3175029.54488643, 4229069.546371893 3175274.8352399673, 4228962.951319554 3175995.1608858565, 4228951.28813159 3176140.004365963, 4229001.775816728 3176357.8848636737, 4229012.860935745 3176582.3121316927, 4228970.673438296 3176744.1367535014, 4228821.940745734 3176780.7546789646, 4228653.895318167 3176815.8170616953, 4228698.288874319 3176867.986740848, 4228742.682493246 3176920.156442631, 4228711.577924301 3177306.410947444, 4228752.083664774 3177406.8630108605, 4228908.466511367 3177516.646559905, 4228931.214953442 3177596.230801991, 4228917.995611224 3177760.390366178, 4228902.443276559 3177953.5197307034, 4228888.446020648 3178127.3365891958, 4228847.811970512 3178269.8513687984, 4228795.641145534 3178314.2457628907, 4228840.23212816 3178726.0422251667))",POINT (4230600.699862956 3177291.2599278623),1712-07-01,,30,0
SOUTHEAST,STORA KÖPINGE,376,JUL 1712,JAN 1713,80,1,"POLYGON ((4240456.475361526 3179067.689181899, 4240522.089893335 3179218.7537015737, 4240477.596283601 3179409.5665755062, 4240378.950996371 3179790.417501951, 4240079.308090488 3180495.300160911, 4239986.617215573 3180439.25193984, 4239739.661469322 3180730.428973349, 4239742.923605165 3181294.4316824037, 4239880.02043697 3181402.6490035197, 4239597.442851472 3181895.081012293, 4239535.9582470255 3182055.3749281326, 4239396.778666163 3182335.781081344, 4239452.735226205 3182486.077271867, 4239438.76056535 3182659.9116184195, 4239346.313799937 3182963.5167322354, 4239700.442806484 3183273.864107707, 4240078.825583665 3182798.843389343, 4240204.8073327355 3182682.61115323, 4240554.463490687 3182564.917248889, 4240792.020092589 3182632.6099327807, 4240869.28021555 3182638.819419993, 4241100.717007613 3182540.780986084, 4241149.004569967 3182544.6617027177, 4241189.530783425 3182645.1176299765, 4241204.96515828 3182694.9575764933, 4241301.54053461 3182702.7188880444, 4241444.162867839 3182500.3426672304, 4241552.379309063 3182363.240882971, 4241562.468315208 3182237.693431567, 4241574.109388432 3182092.831254681, 4241529.702429015 3182040.6635787296, 4241513.923296321 3181874.158731975, 4241460.290600569 3181694.8925968315, 4241376.909884375 3181522.9560798113, 4241412.090604614 3181448.025245112, 4241577.818132468 3181441.903471112, 4241996.96579031 3181426.985324214, 4242064.567537755 3181432.417223484, 4242713.330485585 3180979.11726913, 4243138.33525555 3180770.269146441, 4243488.058334165 3180409.5771707334, 4244036.352962637 3179996.797587493, 4244783.916100247 3179765.2509994432, 4244735.651247448 3178429.809941032, 4244619.766338694 3178420.503510777, 4244525.320977534 3177781.1633689343, 4244996.829290037 3176992.8939126935, 4244882.921607318 3176837.9597362736, 4244826.955481746 3176687.6785784364, 4244857.901015058 3176544.376850306, 4245000.4272304075 3176584.979020877, 4245325.235223714 3176776.2852359046, 4245477.9127619285 3176448.375111004, 4245479.956764887 3176059.7764340914, 4245491.5870407885 3175914.9247382134, 4245761.761862648 3175334.039496394, 4246057.935840622 3174308.1782068927, 4245920.907466605 3173957.0200876095, 4245976.942307646 3173864.33101587, 4245712.898528417 3173279.4483384457, 4242989.103270543 3175247.4463150357, 4240527.112824586 3176011.8200298063, 4240651.096949974 3176041.221307379, 4240666.530246444 3176091.0564705394, 4240633.248975841 3176263.3241651626, 4240623.936901196 3176379.204180588, 4240689.205622197 3176413.6062515005, 4240679.893577468 3176529.486528146, 4240724.29705254 3176581.650055853, 4240805.430647661 3176539.5745024555, 4240866.819698525 3176622.260086035, 4240909.671413164 3176693.73704772, 4240898.031649009 3176838.5880877436, 4240936.227579832 3176968.005832793, 4240979.07952065 3177039.4831421752, 4240924.587733959 3177112.8574321126, 4240853.110267534 3177155.709366286, 4240800.946298285 3177200.1132676327, 4240764.215756002 3177294.353178634, 4240681.097508738 3177482.0572319357, 4240673.249677604 3177821.5989375836, 4240622.805573893 3178449.2980652926, 4240555.118628944 3178686.841773181, 4240539.596673106 3178879.981626739, 4240456.475361526 3179067.689181899))",POINT (4242671.863855316 3178171.7113459506),1712-07-01,1713-01-01,30,244
SOUTHEAST,BROMMA,154,AUG 1712,,,1,"POLYGON ((4231996.04937005 3179728.504239913, 4232042.001706574 3179761.3610786153, 4232014.797101607 3180099.351045349, 4232069.181533916 3180268.959156463, 4232109.693275016 3180369.4146596347, 4232261.754478783 3180653.7998940423, 4232261.636606667 3180896.7788776113, 4232505.393267865 3180887.2394009866, 4232607.403887701 3180827.412771452, 4232852.7148629995 3180798.5580618773, 4232992.129659361 3180877.814923251, 4233378.410594861 3180908.9010519246, 4233418.924523472 3181009.357105488, 4233565.334492166 3181001.69974262, 4234063.9490946 3181207.0550694717, 4234351.331143705 3181259.3372281203, 4234386.407594464 3181427.393438634, 4234718.191900794 3181531.8453097306, 4235037.981280119 3180818.881306391, 4235217.246892549 3180765.265761676, 4235441.355361969 3180637.5005564373, 4235663.468018809 3180655.3675904097, 4235814.53856156 3180589.762996956, 4235938.191205739 3180502.513646723, 4236023.215334636 3180412.157120802, 4236028.652620166 3180344.557738774, 4235872.691569887 3180108.4643313326, 4235800.978188894 3179791.6729674335, 4235719.944018243 3179590.7662240095, 4235501.8245663885 3179281.639331704, 4235025.837746196 3177707.7074453356, 4234737.691761723 3177665.0896666734, 4234610.601698158 3177674.304006324, 4234532.905990586 3177794.4024708187, 4234403.485080737 3177832.586390003, 4234410.702226984 3178105.304021898, 4234349.211418192 3178265.5835136306, 4234209.6895083655 3178429.304593081, 4234089.9240496205 3178468.2649827558, 4233918.433879004 3178425.3095447063, 4233862.380510106 3178517.991935683, 4233674.685036476 3178434.8550525103, 4233624.9592036195 3178207.311986496, 4233429.494616084 3178220.741741102, 4233251.789285783 3178255.0384040102, 4233269.103528528 3178402.219847567, 4232977.848739942 3178398.220993073, 4232903.920785539 3178713.0067232964, 4232266.227731963 3179390.633451254, 4232055.992434545 3179587.538270102, 4231938.226683054 3179480.8658089186, 4231872.065247555 3179699.0859603183, 4231895.594707363 3179769.015594636, 4231996.04937005 3179728.504239913))",POINT (4234027.027249504 3179705.7627846766),1712-08-01,,61,0
SOUTHEAST,HEDESKOGA,148,SEP 1712,OCT 1712,5,1,"POLYGON ((4233181.208405356 3176354.1400631, 4233118.055184642 3175931.1453313683, 4232453.663544339 3175129.3340392923, 4232233.684619894 3174722.8825157746, 4231981.070196628 3174721.990757327, 4232053.0634237565 3176846.493207964, 4232422.123611402 3176487.435673231, 4233113.501141573 3176591.6659099897, 4232877.748005974 3176864.265079603, 4232767.97309051 3177020.6547010974, 4232643.992912119 3176991.239664061, 4232611.469324795 3177153.8459106376, 4232705.703126545 3177190.5863764333, 4232464.175402721 3177414.126027548, 4231689.153018698 3179315.0274705347, 4231938.226683054 3179480.8658089186, 4232055.992434545 3179587.538270102, 4232266.227731963 3179390.633451254, 4232903.920785539 3178713.0067232964, 4232977.848739942 3178398.220993073, 4233269.103528528 3178402.219847567, 4233251.789285783 3178255.0384040102, 4233429.494616084 3178220.741741102, 4233624.9592036195 3178207.311986496, 4233674.685036476 3178434.8550525103, 4233862.380510106 3178517.991935683, 4233918.433879004 3178425.3095447063, 4234089.9240496205 3178468.2649827558, 4234209.6895083655 3178429.304593081, 4234349.211418192 3178265.5835136306, 4234410.702226984 3178105.304021898, 4234403.485080737 3177832.586390003, 4234532.905990586 3177794.4024708187, 4234610.601698158 3177674.304006324, 4234737.691761723 3177665.0896666734, 4234983.646766364 3177023.97632358, 4234658.76563811 3177075.5944231274, 4233901.780249022 3176820.3140760576, 4233913.43393927 3176675.466611015, 4233600.208785743 3176582.2326333914, 4233181.208405356 3176354.1400631))",POINT (4233060.46303023 3177329.2552913846),1712-09-01,1712-10-01,92,152
SOUTHEAST,BORRIE,72,,,,0,"POLYGON ((4237152.046160444 3182087.2513691336, 4237279.921285874 3182068.3758905544, 4237426.334403964 3182060.710752158, 4237559.54520459 3182217.2201248906, 4237971.366766591 3182172.57776308, 4237246.931329529 3181511.697509625, 4237098.189445013 3181548.3341421867, 4236436.268416425 3181077.1528361347, 4235816.216098938 3181173.073884727, 4235217.246892549 3180765.265761676, 4235037.981280119 3180818.881306391, 4234718.191900794 3181531.8453097306, 4235120.242652696 3181729.4261329006, 4235220.590878015 3181931.893565207, 4235120.133919613 3181972.4105118015, 4235060.193640497 3182113.3845113637, 4235330.488614689 3182378.1243333095, 4235674.159961262 3182697.3662844184, 4235479.351132572 3182944.1310182367, 4235477.246434529 3183332.758041557, 4235770.746562565 3183550.768315785, 4235872.866503387 3183247.9448950137, 4236976.352931695 3182821.54848855, 4236956.70123617 3182703.329483497, 4237071.139117263 3182488.9765920825, 4237111.761422508 3182346.4461727175, 4237094.439516574 3182199.255971386, 4237152.046160444 3182087.2513691336))",POINT (4236118.238063562 3182011.7452140898),,,0,0
SOUTHEAST,STORA HERRESTA,436,,,,0,"POLYGON ((4240456.475361526 3179067.689181899, 4240539.596673106 3178879.981626739, 4240555.118628944 3178686.841773181, 4240622.805573893 3178449.2980652926, 4240673.249677604 3177821.5989375836, 4240681.097508738 3177482.0572319357, 4240764.215756002 3177294.353178634, 4240800.946298285 3177200.1132676327, 4240853.110267534 3177155.709366286, 4240924.587733959 3177112.8574321126, 4240979.07952065 3177039.4831421752, 4240936.227579832 3176968.005832793, 4240898.031649009 3176838.5880877436, 4240909.671413164 3176693.73704772, 4240866.819698525 3176622.260086035, 4240805.430647661 3176539.5745024555, 4240724.29705254 3176581.650055853, 4240679.893577468 3176529.486528146, 4240689.205622197 3176413.6062515005, 4240623.936901196 3176379.204180588, 4240565.56530971 3176500.860981575, 4240233.701739983 3176639.4152947557, 4240049.881025919 3176508.013488709, 4239779.837544603 3176602.9386641444, 4239391.242341774 3176600.862524934, 4239012.646035569 3176716.216658844, 4238655.349732376 3176687.4951548064, 4237480.784459405 3176427.8412043084, 4237163.415157222 3177957.379504417, 4237107.366028229 3178050.0646247473, 4236997.697082078 3177963.49199208, 4236954.748876346 3178134.9843109404, 4236769.615887066 3178382.5161959496, 4236614.566103633 3178739.3800495565, 4236622.567851028 3179002.4455024134, 4236510.466075101 3179187.8171399, 4236409.910819435 3179471.311723616, 4236359.529570177 3179856.0372064034, 4236218.454418454 3180039.080157111, 4236028.652620166 3180344.557738774, 4236023.215334636 3180412.157120802, 4235938.191205739 3180502.513646723, 4235814.53856156 3180589.762996956, 4235663.468018809 3180655.3675904097, 4235441.355361969 3180637.5005564373, 4235217.246892549 3180765.265761676, 4235816.216098938 3181173.073884727, 4236436.268416425 3181077.1528361347, 4237098.189445013 3181548.3341421867, 4237246.931329529 3181511.697509625, 4237971.366766591 3182172.57776308, 4238487.089802909 3182165.44647927, 4238745.509724093 3182215.3832896813, 4239174.5071067745 3181715.284765309, 4239489.317781308 3181789.1913319863, 4239742.923605165 3181294.4316824037, 4239739.661469322 3180730.428973349, 4239986.617215573 3180439.25193984, 4240079.308090488 3180495.300160911, 4240378.950996371 3179790.417501951, 4240477.596283601 3179409.5665755062, 4240522.089893335 3179218.7537015737, 4240456.475361526 3179067.689181899))",POINT (4238483.353986263 3179232.657902925),,,0,0
